"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2022-04-28","2380.16","2390.27","2351.48","2356.17","-0.84 %","1,496,246,808.20"
"NEPSE","2022-04-27","2373.1","2376.63","2348.57","2376.17","0.22 %","1,089,992,035.93"
"NEPSE","2022-04-26","2386.04","2402.23","2358.76","2370.99","-0.63 %","1,046,014,417.21"
"NEPSE","2022-04-25","2423.74","2444.55","2381.93","2386.01","-1.44 %","2,042,253,182.30"
"NEPSE","2022-04-24","2331.51","2430.28","2331.51","2420.91","4.11 %","2,531,275,592.85"
"NEPSE","2022-04-21","2327.08","2333.93","2286.6","2325.45","0.21 %","1,629,168,847.90"
"NEPSE","2022-04-20","2364.47","2367.25","2316.69","2320.51","-1.56 %","1,458,737,755.46"
"NEPSE","2022-04-19","2347.21","2372.32","2314.42","2357.24","0.57 %","1,326,865,931.84"
"NEPSE","2022-04-18","2386.66","2387.51","2341.92","2343.87","-1.75 %","1,530,692,955.68"
"NEPSE","2022-04-17","2422.34","2437.67","2379.53","2385.64","-1.23 %","1,440,723,182.32"
"NEPSE","2022-04-13","2385.24","2415.35","2366.94","2415.24","1.27 %","1,476,318,104.45"
"NEPSE","2022-04-12","2424.71","2428.8","2379.48","2385.02","-1.44 %","1,524,364,418.11"
"NEPSE","2022-04-11","2471.81","2510.13","2415.9","2419.71","-1.81 %","2,260,786,628.14"
"NEPSE","2022-04-07","2427.97","2476.37","2427.71","2464.31","1.47 %","2,121,511,279.53"
"NEPSE","2022-04-06","2451.81","2458.35","2416.38","2428.75","-0.95 %","1,995,964,384.22"
"NEPSE","2022-04-05","2507.77","2507.77","2434.27","2452.06","-1.86 %","2,671,232,388.39"
"NEPSE","2022-04-04","2517.41","2525.54","2495.84","2497.47","-0.63 %","1,584,671,562.02"
"NEPSE","2022-04-03","2544.48","2547.04","2509.76","2513.41","-1.21 %","1,460,773,729.18"
"NEPSE","2022-03-31","2568.76","2584.54","2538.13","2544.3","-0.93 %","1,890,164,686.40"
"NEPSE","2022-03-30","2527.77","2568.25","2515.8","2568.25","1.61 %","2,250,117,296.35"
"NEPSE","2022-03-29","2542.65","2562.4","2519.89","2527.58","-0.56 %","1,750,628,199.30"
"NEPSE","2022-03-28","2574.12","2580.33","2537.87","2542.28","-1.17 %","2,545,321,813.94"
"NEPSE","2022-03-28","2574.12","2580.3","2538.42","2541.84","-1.18 %","0.00"
"NEPSE","2022-03-27","2623.2","2642.32","2567.75","2572.23","-1.59 %","4,989,514,415.78"
"NEPSE","2022-03-24","2630.93","2639.01","2611.18","2613.67","-0.63 %","3,248,943,824.65"
"NEPSE","2022-03-23","2651.41","2654.48","2622.69","2630.36","-0.77 %","2,046,352,547.24"
"NEPSE","2022-03-22","2634.42","2658.05","2634.41","2650.7","0.61 %","2,518,894,178.30"
"NEPSE","2022-03-21","2620.13","2634.66","2600.92","2634.65","0.69 %","2,592,718,131.45"
"NEPSE","2022-03-20","2634.11","2644.46","2607.74","2616.58","-0.56 %","2,274,626,190.52"
"NEPSE","2022-03-16","2653.57","2661.28","2625.96","2631.32","-0.74 %","2,570,401,188.09"
"NEPSE","2022-03-15","2673.55","2677.36","2637.15","2650.97","-0.64 %","3,364,229,175.36"
"NEPSE","2022-03-14","2677.97","2683.41","2650.23","2668.11","0.01 %","1,342,232,838.50"
"NEPSE","2022-03-13","2575.27","2667.97","2575.21","2667.97","3.94 %","4,870,715,387.13"
"NEPSE","2022-03-10","2512.04","2566.9","2498.45","2566.9","2.08 %","2,780,216,427.20"
"NEPSE","2022-03-09","2542.42","2557.55","2504.37","2514.58","-1.19 %","2,352,317,142.04"
"NEPSE","2022-03-07","2542.66","2566.63","2538.28","2544.93","0.06 %","2,600,930,402.62"
"NEPSE","2022-03-06","2542.57","2568.62","2527.97","2543.39","-0.14 %","2,493,241,272.52"
"NEPSE","2022-03-02","2612.51","2612.5","2542.1","2547.04","-2.43 %","3,621,143,979.33"
"NEPSE","2022-02-28","2662.26","2683.75","2606.62","2610.6","-1.62 %","3,660,189,867.56"
"NEPSE","2022-02-27","2660.39","2680.39","2638.01","2653.7","-0.29 %","3,273,065,909.76"
"NEPSE","2022-02-24","2715.44","2715.82","2654.37","2661.44","-2.17 %","4,293,864,191.66"
"NEPSE","2022-02-23","2732.48","2747.56","2715.91","2720.43","-0.57 %","3,131,210,281.89"
"NEPSE","2022-02-22","2719.89","2750.3","2719.88","2735.93","0.64 %","3,212,887,822.12"
"NEPSE","2022-02-21","2695.26","2719.07","2693.83","2718.51","0.94 %","2,997,681,072.21"
"NEPSE","2022-02-20","2713.52","2715.82","2669.32","2693.1","-1.44 %","4,086,474,828.32"
"NEPSE","2022-02-17","2735.33","2745.37","2723.17","2732.52","-0.07 %","2,278,173,660.06"
"NEPSE","2022-02-16","2759.37","2772.11","2725.16","2734.44","-0.72 %","3,026,330,784.14"
"NEPSE","2022-02-15","2703.35","2754.5","2703.27","2754.29","1.97 %","3,233,318,614.48"
"NEPSE","2022-02-14","2697.37","2729.26","2694.31","2700.98","0.00 %","3,684,009,915.07"
"NEPSE","2022-02-13","2783.89","2784.19","2696.65","2700.89","-3.59 %","5,977,214,730.64"
"NEPSE","2022-02-10","2813.33","2825.34","2790.9","2801.56","-0.43 %","3,829,533,349.64"
"NEPSE","2022-02-09","2837.33","2837.35","2799.96","2813.52","-0.78 %","3,471,109,182.03"
"NEPSE","2022-02-08","2877.58","2921.35","2825.96","2835.58","-0.57 %","6,287,217,985.34"
"NEPSE","2022-02-07","2834.26","2853.78","2822.52","2851.86","0.49 %","5,022,017,180.72"
"NEPSE","2022-02-06","2877.04","2877.04","2829.1","2836.17","-1.41 %","5,836,414,510.47"
"NEPSE","2022-02-03","2898.61","2925.05","2870.64","2876.74","-0.50 %","8,612,174,162.02"
"NEPSE","2022-02-01","2875.74","2897.18","2855.95","2891.3","0.67 %","6,574,842,418.11"
"NEPSE","2022-01-31","2895.77","2909.13","2860.7","2871.05","-0.50 %","5,154,177,598.09"
"NEPSE","2022-01-30","2805.01","2885.62","2805.01","2885.53","3.80 %","6,324,274,038.57"
"NEPSE","2022-01-27","2778.89","2804.07","2776.74","2779.98","0.12 %","3,343,413,684.03"
"NEPSE","2022-01-26","2817.17","2819.74","2760.88","2776.65","-1.36 %","4,313,154,042.17"
"NEPSE","2022-01-25","2827.75","2857.91","2781.01","2815.06","0.20 %","5,395,672,627.02"
"NEPSE","2022-01-24","2926.12","2926.21","2803.72","2820.65","-3.42 %","8,888,513,177.57"
"NEPSE","2022-01-23","2942.97","2962.44","2906.19","2920.51","-0.37 %","7,030,508,262.97"
"NEPSE","2022-01-20","2901.51","2936.58","2884","2931.34","1.14 %","5,773,120,409.18"
"NEPSE","2022-01-19","2945.63","2952.57","2889.18","2898.31","-1.31 %","6,021,311,881.03"
"NEPSE","2022-01-18","2953.11","2981.92","2915.56","2936.66","-0.37 %","8,443,419,561.86"
"NEPSE","2022-01-17","2944.92","2956.11","2907.19","2947.38","0.71 %","7,901,890,668.04"
"NEPSE","2022-01-16","2873.42","2940.13","2873.41","2926.74","2.41 %","9,676,317,059.06"
"NEPSE","2022-01-13","2808.8","2858.2","2802.49","2857.75","1.93 %","6,669,748,567.76"
"NEPSE","2022-01-12","2839.87","2874.89","2796.61","2803.62","-1.08 %","8,033,212,742.00"
"NEPSE","2022-01-11","2792.64","2848.26","2771.15","2834.13","1.77 %","6,724,526,197.51"
"NEPSE","2022-01-10","2772.09","2806.74","2755.79","2784.95","0.70 %","7,123,424,035.13"
"NEPSE","2022-01-09","2699.88","2770.55","2699.88","2765.47","2.71 %","7,101,831,591.11"
"NEPSE","2022-01-06","2647.76","2692.76","2633.31","2692.47","1.63 %","3,676,846,349.30"
"NEPSE","2022-01-05","2687.75","2700.29","2640.97","2649.2","-1.15 %","4,621,598,582.71"
"NEPSE","2022-01-04","2619.22","2679.95","2593.9","2679.95","2.30 %","4,320,269,827.53"
"NEPSE","2022-01-03","2595.22","2634.86","2593.92","2616.94","1.12 %","4,533,017,178.58"
"NEPSE","2022-01-02","2538.25","2585.01","2528.75","2584.91","2.39 %","4,126,980,067.53"
